Id,ActivityTypeOrg,ActivityType,Executable,DisplayText,ContentInfo,Payload,ClipboardPayload,StartTime,EndTime,Duration,LastModifiedTime,LastModifiedTimeOnClient,CreatedTime,ExpirationTime,OperationExpirationTime,OperationOrder,AppId,OperationType,Description,PlatformDeviceId,DevicePlatform,TimeZone
55ca5fe2-4c50-79d1-a4e8-8787a8ea3990,5,ExecuteOpen,MSEdge,Microsoft Edge,,"{""displayText"":""Microsoft Edge"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Microsoft Edge"",""backgroundColor"":""black""}",,2025-06-03 12:47:42,,,2025-06-03 12:47:42,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,1,"[{""application"":""MSEdge"",""platform"":""windows_win32""},{""application"":""MSEdge"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
87fd8f42-5e97-7b4e-0ceb-390bb143d803,5,ExecuteOpen,Microsoft.Windows.Explorer,File Explorer,,"{""displayText"":""File Explorer"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""File Explorer"",""backgroundColor"":""black""}",,2025-06-04 11:10:17,,,2025-06-04 11:10:17,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,2,"[{""application"":""Microsoft.Windows.Explorer"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.Explorer"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
0a638179-a05f-ee16-a9bc-2975763f7405,5,ExecuteOpen,D:\setup64.exe,setup64.exe,,"{""displayText"":""setup64.exe"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""setup64.exe"",""backgroundColor"":""black""}",,2025-06-04 11:10:24,,,2025-06-04 11:10:24,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,3,"[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
bbd21b0d-161d-e2a2-103c-4e621426ff95,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2025-06-04 11:10:23,2025-06-04 11:10:25,00:00:02,2025-06-04 11:10:25,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,4,"[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,America/Los_Angeles
0e6da2bc-61ef-08ae-7ef2-e28d2d8b886a,6,InFocus,Microsoft.Windows.Explorer,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":8,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2025-06-04 11:10:17,2025-06-04 11:10:34,00:00:17,2025-06-04 11:10:23,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,5,"[{""application"":""Microsoft.Windows.Explorer"",""platform"":""windows_win32""},{""application"":""Microsoft.Windows.Explorer"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,America/Los_Angeles
1c5ffbc7-48e9-36af-14a4-91a3e81bebec,5,ExecuteOpen,Microsoft.Windows.WindowsInstaller,Microsoft.Windows.WindowsInstaller,,"{""displayText"":""Microsoft.Windows.WindowsInstaller"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Microsoft.Windows.WindowsInstaller"",""backgroundColor"":""black""}",,2025-06-04 11:10:34,,,2025-06-04 11:10:34,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,6,"[{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""x_exe_path""},{""application"":""Microsoft.Windows.WindowsInstaller"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
3e8b8a09-f007-c5e1-1770-e99a70dd053c,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":2,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2025-06-04 11:10:36,2025-06-04 11:10:38,00:00:02,2025-06-04 11:10:38,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,7,"[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,America/Los_Angeles
6fea07eb-3f97-4659-91cf-83484b9a722e,6,InFocus,D:\setup64.exe,,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":30,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":1},""userTimezone"":""America/Los_Angeles""}",,2025-06-04 11:10:40,2025-06-04 11:11:21,00:00:41,2025-06-04 11:11:01,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,8,"[{""application"":""D:\\setup64.exe"",""platform"":""x_exe_path""},{""application"":""D:\\setup64.exe"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,America/Los_Angeles
0e0b2dfe-724a-569c-fbb4-57ba39ea72a3,5,ExecuteOpen,Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8},Task Manager,,"{""displayText"":""Task Manager"",""activationUri"":""ms-shellactivity:"",""appDisplayName"":""Task Manager"",""backgroundColor"":""black""}",,2025-06-04 11:13:02,,,2025-06-04 11:13:02,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,9,"[{""application"":""Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"",""platform"":""windows_win32""},{""application"":""Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,
8493f19b-557d-1fb3-798c-7ca20b2304a9,6,InFocus,Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8},,,"{""type"":""UserEngaged"",""reportingApp"":""ShellActivityMonitor"",""activeDurationSeconds"":81,""shellContentDescription"":{""MergedGap"":600,""ActivityEngagementFlags"":3},""userTimezone"":""America/Los_Angeles""}",,2025-06-04 11:13:02,2025-06-04 11:14:32,00:01:30,2025-06-04 11:14:04,2025-06-04 12:32:30,2025-06-04 12:32:30,2025-07-04 12:32:30,2025-07-04 12:32:30,10,"[{""application"":""Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"",""platform"":""windows_win32""},{""application"":""Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"",""platform"":""packageId""},{""application"":"""",""platform"":""alternateId""}]",1,,yKkaAqUvs/IS/KZSmJJ1jiAcGNCQ7e/O3LIeT2rt58c=,,America/Los_Angeles
